r,n,|A|,|A+A|
5,39,1255,711861
6,39,1293,770090
7,39,1331,822337
8,39,1369,871920
9,39,1369,874438
10,39,1407,924872
2,40,820,261859
3,40,1093,513606
4,40,1210,652309
5,40,1288,751759
6,40,1366,859873
7,40,1405,917655
8,40,1405,920089
9,40,1444,974299
10,40,1444,975859
