d,r,n,|A|,|A+A|
4,5,15,183,14047
4,6,15,225,21962
4,7,15,212,19515
4,8,15,225,22286
4,9,15,197,17186
2,2,16,256,17855
2,3,16,181,12475
2,4,16,256,26323
2,5,16,211,18831
2,6,16,256,28178
2,7,16,226,22188
2,8,16,256,28923
2,9,16,226,22681
3,2,16,200,12582
3,3,16,256,23866
3,4,16,196,15937
3,5,16,242,25156
3,6,16,256,27934
3,7,16,226,22089
3,8,16,256,29014
3,9,16,256,29193
4,2,16,256,17822
4,3,16,228,19355
4,4,16,256,26426
4,5,16,211,18760
4,6,16,256,28553
4,7,16,242,25544
4,8,16,256,28838
4,9,16,226,22651
2,2,17,289,23238
2,3,17,193,14432
2,4,17,289,33781
2,5,17,241,24683
2,6,17,289,36047
2,7,17,257,28722
2,8,17,289,36987
2,9,17,257,29385
3,2,17,229,16530
3,3,17,289,30742
3,4,17,225,20961
3,5,17,274,32464
3,6,17,289,35841
3,7,17,241,25345
3,8,17,289,37085
3,9,17,289,37307
4,2,17,289,23043
4,3,17,259,25167
4,4,17,289,33630
4,5,17,225,21561
4,6,17,289,36549
4,7,17,274,32880
4,8,17,289,36741
4,9,17,257,29353
2,2,18,324,29781
2,3,18,222,19234
2,4,18,324,42602
2,5,18,256,28119
2,6,18,324,45512
2,7,18,273,32675
2,8,18,324,46668
2,9,18,290,37503
3,2,18,244,19315
3,3,18,324,39215
3,4,18,239,23916
3,5,18,308,41201
3,6,18,324,45304
3,7,18,273,32658
3,8,18,324,46726
3,9,18,324,47025
4,2,18,324,29478
4,3,18,292,32167
4,4,18,324,42312
4,5,18,256,28102
4,6,18,324,46123
4,7,18,308,41736
4,8,18,324,46216
4,9,18,290,37469
2,2,19,361,37676
2,3,19,253,25067
2,4,19,361,53125
2,5,19,289,36064
2,6,19,361,56628
2,7,19,307,41491
2,8,19,361,58016
2,9,19,325,47224
3,2,19,276,24868
3,3,19,361,49143
3,4,19,271,30740
3,5,19,344,51590
3,6,19,361,56467
3,7,19,307,41473
3,8,19,361,58196
3,9,19,361,58548
4,2,19,361,37108
4,3,19,327,40661
4,4,19,361,52870
4,5,19,289,35995
4,6,19,361,57507
4,7,19,344,52276
4,8,19,361,57456
4,9,19,325,47171
2,2,20,400,47123
2,3,20,267,28288
2,4,20,400,65681
2,5,20,324,45529
2,6,20,400,69722
2,7,20,343,52004
2,8,20,400,71346
2,9,20,362,58749
3,2,20,310,31570
3,3,20,400,60746
3,4,20,305,38983
3,5,20,382,63874
3,6,20,400,69618
3,7,20,343,51985
3,8,20,400,71612
3,9,20,400,71999
4,2,20,400,46654
4,3,20,364,50687
4,4,20,400,65202
4,5,20,324,45438
4,6,20,400,70712
4,7,20,382,64526
4,8,20,400,70828
4,9,20,362,58531
2,2,21,441,58295
2,3,21,301,36179
2,4,21,441,80367
2,5,21,361,56760
2,6,21,441,84986
2,7,21,381,64421
2,8,21,441,86955
2,9,21,401,72234
3,2,21,346,39562
3,3,21,441,74516
3,4,21,341,48762
3,5,21,422,78304
3,6,21,441,84858
3,7,21,381,64401
3,8,21,441,87187
3,9,21,441,87588
4,2,21,441,57491
4,3,21,384,57198
4,4,21,441,79397
4,5,21,361,56664
4,6,21,441,86289
4,7,21,422,79029
4,8,21,441,86431
4,9,21,381,65201
2,2,22,484,71403
2,3,22,337,45560
2,4,22,484,97150
2,5,22,400,69987
2,6,22,484,102689
2,7,22,421,78941
2,8,22,484,105131
2,9,22,442,87835
3,2,22,364,44721
3,3,22,484,90313
3,4,22,358,54203
3,5,22,464,95133
3,6,22,484,102766
3,7,22,421,78800
3,8,22,464,97010
3,9,22,484,105697
4,2,22,484,70438
4,3,22,424,70542
4,4,22,484,95928
4,5,22,379,62875
4,6,22,484,104352
4,7,22,464,95977
4,8,22,484,104502
4,9,22,421,79822
2,2,23,529,86663
2,3,23,353,50505
2,4,23,529,116609
2,5,23,419,77265
2,6,23,529,123203
2,7,23,463,95687
2,8,23,529,126011
2,9,23,463,96845
3,2,23,403,55442
3,3,23,529,108680
3,4,23,397,66804
3,5,23,508,114479
3,6,23,529,123362
3,7,23,463,95539
3,8,23,508,116633
3,9,23,529,126647
4,2,23,529,85448
4,3,23,466,86036
4,4,23,529,115349
4,5,23,419,77201
4,6,23,529,125132
4,7,23,508,115506
4,8,23,529,125290
4,9,23,463,96801
2,2,24,576,104351
2,3,24,392,62616
2,4,24,576,138759
2,5,24,461,93913
2,6,24,576,146633
2,7,24,507,115016
2,8,24,576,149897
2,9,24,507,116427
3,2,24,444,67624
3,3,24,576,130010
3,4,24,438,81535
3,5,24,554,136498
3,6,24,576,146794
3,7,24,484,104927
3,8,24,554,139115
3,9,24,576,150585
4,2,24,576,103402
4,3,24,510,103228
4,4,24,576,137614
4,5,24,461,93802
4,6,24,576,148868
4,7,24,554,137825
4,8,24,576,149012
4,9,24,507,116381
2,2,25,625,124649
2,3,25,433,76762
2,4,25,625,164126
2,5,25,505,113097
2,6,25,625,173176
2,7,25,529,125797
2,8,25,625,177018
2,9,25,553,138865
3,2,25,487,82119
3,3,25,625,154224
3,4,25,481,98473
3,5,25,602,161870
3,6,25,625,173368
3,7,25,529,125773
3,8,25,602,164679
3,9,25,625,177762
4,2,25,625,123333
4,3,25,556,123746
4,4,25,625,162704
4,5,25,505,112981
4,6,25,625,175876
4,7,25,602,163307
4,8,25,625,175820
4,9,25,553,138817
2,2,26,676,147825
2,3,26,451,83963
2,4,26,676,192686
2,5,26,551,134634
2,6,26,676,203224
2,7,26,576,149626
2,8,26,676,207562
2,9,26,601,164426
3,2,26,508,90778
3,3,26,676,181515
3,4,26,501,107534
3,5,26,652,190061
3,6,26,676,203402
3,7,26,576,149601
3,8,26,652,193690
3,9,26,676,208276
4,2,26,676,146116
4,3,26,604,147136
4,4,26,676,190938
4,5,26,551,134490
4,6,26,676,206029
4,7,26,652,192010
4,8,26,676,206146
